2022/12/03/04:01:09:418 [DEBUG] Unity: ;LOGLINE;Time in Handshake 3;140,126; s
2022/12/03/04:01:09:419 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:01:09:420 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 4
2022/12/03/04:01:09:422 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 18
2022/12/03/04:01:09:423 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/04:01:09:424 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:01:09:426 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 11
2022/12/03/04:01:09:427 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 9
2022/12/03/04:01:09:428 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:01:09:429 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/04:01:09:431 [DEBUG] Unity: ;LOGLINE;Time in Handshake 4;696,907; s
2022/12/03/04:01:09:432 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:04:39:012 [DEBUG] Unity: ;LOGLINE;================================================================================
2022/12/03/04:04:39:013 [DEBUG] Unity: ;LOGLINE;VERSION;Handshake2
2022/12/03/04:04:39:015 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:05:40:401 [DEBUG] Unity: Entra qui
2022/12/03/04:05:40:403 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;,616;s
2022/12/03/04:06:00:141 [DEBUG] Unity: Entra qui
2022/12/03/04:06:00:143 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;1,046;s
2022/12/03/04:06:15:624 [DEBUG] Unity: Entra qui
2022/12/03/04:06:15:625 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;,559;s
2022/12/03/04:07:32:556 [DEBUG] Unity: Entra qui
2022/12/03/04:07:32:557 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;73,107;s
2022/12/03/04:08:42:084 [DEBUG] Unity: ;LOGLINE;================================================================================
2022/12/03/04:08:42:085 [DEBUG] Unity: ;LOGLINE;VERSION;StartMenu
2022/12/03/04:08:42:086 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:08:42:089 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 1
2022/12/03/04:08:42:091 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 7
2022/12/03/04:08:42:093 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 1
2022/12/03/04:08:42:094 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:08:42:096 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 4
2022/12/03/04:08:42:098 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 3
2022/12/03/04:08:42:100 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:08:42:101 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/04:08:42:103 [DEBUG] Unity: ;LOGLINE;Time in Handshake 1;2684,766; s
2022/12/03/04:08:42:104 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:08:42:106 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 2
2022/12/03/04:08:42:107 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 12
2022/12/03/04:08:42:109 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 1
2022/12/03/04:08:42:110 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:08:42:112 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 3
